,Passage,Group,Length,Accuracy Scores,Execution Times
10,CS109_Course_Reader.txt,medium,602,"[1.0, 1.0, 1.0, 1.0, 0.3632907016937435, 0.3415139993086761, 0.523332181126858, 1.0, 1.0, 1.0]","[7.842875003814697, 7.939989328384399, 8.147017002105713, 7.8668458461761475, 9.610965013504028, 9.295145988464355, 38.14144587516785, 7.8826141357421875, 7.8540778160095215, 7.888722896575928]"
11,Federalist_Papers.txt,medium,570,"[0.42257030971876114, 1.0, 1.0, 1.0, 1.0, 0.23994304022783908, 0.26201495194019225, 0.31612673549305803, 0.10039159843360626, 0.24172303310786758]","[8.883256196975708, 940.3125288486481, 7.1389429569244385, 7.0579211711883545, 6.952971935272217, 8.446385860443115, 8.384117841720581, 8.658468246459961, 970.278370141983, 8.51298213005066]"
12,Harry_Potter.txt,medium,685,"[1.0, 0.47821540606483093, 1.0, 1.0, 0.38898570930637855, 1.0, 1.0, 1.0, 1.0, 0.543046357615894]","[7.4705798625946045, 8.886203050613403, 7.469008207321167, 7.450678110122681, 8.916552305221558, 591.0552940368652, 7.2161149978637695, 7.265094041824341, 7.306411981582642, 8.727774143218994]"
13,UN_Adaptation_Gap_Report.txt,medium,714,"[1.0, 0.18342739866598257, 0.05515649050795279, 1.0, 0.3968701898409441, 1.0, 0.00538737814263725, 0.18394048229861468, 0.39507439712673165, 0.26141611082606464]","[9.105528116226196, 14.158681154251099, 11.342944145202637, 9.401909112930298, 11.210508108139038, 9.47889518737793, 11.165550947189331, 11.12948203086853, 11.015596151351929, 11.383602857589722]"
14,Pride_and_Prejudice.txt,medium,700,"[0.9990406140070355, 0.15350175887432044, 0.9990406140070355, 0.9990406140070355, 0.3719219699392389, 0.9990406140070355, 0.9990406140070355, 0.9990406140070355, 0.9494723377038695, 0.9990406140070355]","[7.892185211181641, 9.449558019638062, 7.905914068222046, 7.968264102935791, 9.682111978530884, 8.003978967666626, 8.005275011062622, 8.308029890060425, 9.445925951004028, 7.974255084991455]"
15,To_Kill_A_Mockingbird.txt,medium,682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[8.185101985931396, 8.152530193328857, 8.163940191268921, 8.161417007446289, 8.052001953125, 8.233880996704102, 8.259940147399902, 8.146188020706177, 8.15204668045044, 8.186926126480103]"
16,New_York_Times_Politics.txt,long,1271,"[1.0, 0.18475599804145584, 0.13595560633262607, 0.17561612534682552, 1.0, 1.0, 1.0, 0.16745552472661987, 0.14917577933735923, 0.3442141341602742]","[186.6575710773468, 17.19936513900757, 16.816147089004517, 16.928557872772217, 14.128478050231934, 14.34510588645935, 14.181418895721436, 17.042854070663452, 17.498867988586426, 60.89620018005371]"
17,Lion_Witch_Wardrobe.txt,long,1244,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1563643757625051, 1.0, 1.0]","[11.830559968948364, 11.895752906799316, 20.559048175811768, 11.749447107315063, 11.905716896057129, 11.752925872802734, 11.992048025131226, 14.689945936203003, 11.825001001358032, 11.84624695777893]"
18,CS109_Course_Reader.txt,long,1220,"[1.0, 1.0, 0.18852876293908027, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[13.517742156982422, 13.63357162475586, 16.822318077087402, 13.559430837631226, 13.494065046310425, 13.387929916381836, 13.550968170166016, 13.535844087600708, 13.639070987701416, 13.469990015029907]"
19,Federalist_Papers.txt,long,1098,"[1.0, 0.3568014705882353, 1.0, 1.0, 1.0, 0.31268382352941176, 0.3564338235294118, 0.13841911764705883, 1.0, 1.0]","[12.476556777954102, 15.093190908432007, 12.390326976776123, 12.182329177856445, 12.432494878768921, 15.549588203430176, 15.170614957809448, 15.133718967437744, 12.377561092376709, 12.183422803878784]"
20,Harry_Potter.txt,long,1323,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.40761736049601416, 1.0]","[13.285490036010742, 13.453946828842163, 13.463751792907715, 13.297815084457397, 13.389829158782959, 13.532294034957886, 13.295620203018188, 14.027498960494995, 16.29113006591797, 13.570672750473022]"
21,UN_Adaptation_Gap_Report.txt,long,1089,"[1.0, 1.0, 1.0, 0.16490939044481054, 0.18088962108731466, 0.009390444810543658, 1.0, 0.24975288303130147, 1.0, 0.20691927512355848]","[13.528679132461548, 14.013827800750732, 13.968043088912964, 16.837401866912842, 16.987884044647217, 17.14213800430298, 13.674844741821289, 16.838148832321167, 14.291785955429077, 17.007853746414185]"
22,Pride_and_Prejudice.txt,long,1533,"[1.0, 0.4424269264836138, 1.0, 1.0, 1.0, 0.3122232063773251, 1.0, 1.0, 1.0, 1.0]","[15.267764329910278, 18.924808025360107, 15.756655216217041, 100.50870203971863, 15.965202808380127, 19.684823036193848, 16.233214855194092, 16.16611886024475, 15.445075273513794, 15.298457860946655]"
23,To_Kill_A_Mockingbird.txt,long,1483,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15.757982015609741, 15.70060110092163, 15.75121784210205, 16.381081104278564, 15.785560607910156, 15.608136892318726, 15.062215805053711, 15.032475233078003, 15.050595045089722, 15.324303150177002]"
